,type,f1,sub,PE
108,LDA,0.9047619047619048,RNS8973,20200721
109,SVC,0.8717948717948718,RNS8973,20200721
110,RF,0.9,RNS8973,20200721
111,XGBOOST,0.8421052631578948,RNS8973,20200721
112,pynm_param_sweep,0.945054945054945,RNS8973,20191001
113,RNS_settings,0.39215686274509803,RNS8973,20191001
114,LM,0.9302325581395349,RNS8973,20191001
115,LDA,0.9285714285714285,RNS8973,20191001
116,SVC,0.9534883720930233,RNS8973,20191001
117,RF,0.8695652173913043,RNS8973,20191001
118,XGBOOST,0.9213483146067416,RNS8973,20191001
119,pynm_param_sweep,1.0,RNS8973,20190903
120,RNS_settings,0.2702702702702703,RNS8973,20190903
121,LM,0.9090909090909091,RNS8973,20190903
122,LDA,0.9090909090909091,RNS8973,20190903
123,SVC,0.6666666666666666,RNS8973,20190903
124,RF,0.8333333333333334,RNS8973,20190903
125,XGBOOST,0.6,RNS8973,20190903
126,pynm_param_sweep,0.8387096774193549,RNS8973,20190319
127,RNS_settings,0.2647058823529412,RNS8973,20190319
128,LM,0.8070175438596492,RNS8973,20190319
129,LDA,0.7407407407407407,RNS8973,20190319
130,SVC,0.7547169811320754,RNS8973,20190319
131,RF,0.8135593220338982,RNS8973,20190319
132,XGBOOST,0.7936507936507936,RNS8973,20190319
133,pynm_param_sweep,0.8387096774193548,RNS9536,20170927
134,RNS_settings,0.4444444444444445,RNS9536,20170927
135,LM,0.6666666666666666,RNS9536,20170927
136,LDA,0.911764705882353,RNS9536,20170927
137,SVC,0.05405405405405406,RNS9536,20170927
138,RF,0.8750000000000001,RNS9536,20170927
139,XGBOOST,0.927536231884058,RNS9536,20170927
140,pynm_param_sweep,0.888888888888889,RNS9536,20170412
141,RNS_settings,0.4347826086956522,RNS9536,20170412
142,LM,0.6909090909090909,RNS9536,20170412
143,LDA,0.9454545454545454,RNS9536,20170412
144,SVC,0.0,RNS9536,20170412
145,RF,0.8846153846153846,RNS9536,20170412
146,XGBOOST,0.8846153846153846,RNS9536,20170412
